t,ax,ay,az,gx,gy,gz
0,0.13657862565745246,0.17837389160127226,9.831948771731831,0.1,0.1,0.1
50,0.16037229771948885,0.117271610273962,9.861969496849467,0.1,0.1,0.1
100,0.1948381448251181,0.11756639605343246,9.899290838198503,0.1,0.1,0.1
150,0.10191096754972988,0.18973459702943984,9.892504391846805,0.1,0.1,0.1
200,0.19152351514558372,0.15575482841680002,9.850853544475902,0.1,0.1,0.1
250,0.14363502619768642,0.19468866475706445,9.866387080464934,0.1,0.1,0.1
300,0.1623435971715666,0.16393884324283398,9.824135883124958,0.1,0.1,0.1
350,0.18174476578969212,0.19686245516234863,9.823550521278401,0.1,0.1,0.1
400,0.19824929189245089,0.1814523690570399,9.805436398422303,0.1,0.1,0.1
450,0.1999667622348445,0.16340892981920124,9.889855228182588,0.1,0.1,0.1
500,0.121361435692735,0.14545046502092585,9.86791120919514,0.1,0.1,0.1
550,0.1584465880481347,0.13828549405820684,9.884380268133036,0.1,0.1,0.1
600,0.1655679815845137,0.15345277783307015,9.826803749780174,0.1,0.1,0.1
650,0.19732161132684592,0.12188367411247762,9.826669342928158,0.1,0.1,0.1
700,0.19400661900407792,0.18088417985503674,9.829722479370867,0.1,0.1,0.1
750,0.1376136633505791,0.12806273771439397,9.844191371501992,0.1,0.1,0.1
800,0.16628448829283643,0.15181257892597638,9.895332119015897,0.1,0.1,0.1
850,0.14307714861410176,0.10689916257119882,9.862180904855771,0.1,0.1,0.1
900,0.11112548673512945,0.16965032708289557,9.884537706295905,0.1,0.1,0.1
950,0.19913281165896618,0.1213664651491071,9.866920134371016,0.1,0.1,0.1
1000,0.1471427238376481,0.13566488738013618,9.886901931161633,0.1,0.1,0.1
1050,0.14149028154556703,0.19910909929589815,9.860045255393436,0.1,0.1,0.1
1100,0.14474819761000213,0.13450415360979848,9.861280721791477,0.1,0.1,0.1
1150,0.18498795968930942,0.17536385163881052,9.887103107086581,0.1,0.1,0.1
1200,0.1992183328069304,0.17253905913826362,9.876495029837908,0.1,0.1,0.1
